General axonal guidance,Gnai3,,
Ungrouped,Ngfr,,#ff6b97
Ungrouped,Wnt3,,#a3ff19
Ungrouped,Ccnd2,,#ff4028
Ungrouped,Lhx2,,#ffd547
Ungrouped,Itgb2,,#a8efff
Ungrouped,Cdh1,,#ff4028
Ungrouped,Cdh4,,#a851ff
Ungrouped,Plin2,,#ffd547
Ungrouped,Pdgfra,,#5eff7b
Ungrouped,Pdgfb,,#f06cfe
Ungrouped,Sox9,,#ff4028
General axonal guidance,Sema4f,,
Ungrouped,Ddx3x,,#f06cfe
Ungrouped,S100a6,,#a8efff
Ungrouped,Icam2,,#f06cfe
General axonal guidance,Sema6b,,
General axonal guidance,Efnb2,,
General axonal guidance,Smo,,
General axonal guidance,Plxnb3,,
Ungrouped,Spi1,,#5eff7b
Ungrouped,Tgfb1,,#a8efff
General axonal guidance,Shh,,
Ungrouped,Grin2d,,#ff6b97
Ungrouped,Lamb1,,#ff6b97
Ungrouped,Cdkn1b,,#5eff7b
General axonal guidance,Efna2,,
Ungrouped,Grin2c,,#5eff7b
General axonal guidance,Rnd1,,
Ungrouped,Calb2,,#ffd547
General axonal guidance,Efnb3,,
Ungrouped,Grm3,,#a851ff
General axonal guidance,Plxna3,,
Ungrouped,Pax2,,#a3ff19
Ungrouped,Atp6v1f,,#a3ff19
Ungrouped,Sst,,#ff6b97
Ungrouped,Map2k1,,#ffd547
Ungrouped,Cstb,,#ff4028
Ungrouped,Trp53,,#5eff7b
Ungrouped,Slc1a6,,#ffd547
Ungrouped,Slc1a3,,#449fff
Ungrouped,Stx1a,,#ff4028
Ungrouped,Prkaca,,#a851ff
Ungrouped,Igf1r,,#a3ff19
Ungrouped,Kit,,#ffd547
Ungrouped,Pvalb,,#5eff7b
General axonal guidance,Ephb3,,
Ungrouped,Crkl,,#5eff7b
Ungrouped,Atp6v1b1,,#5eff7b
General axonal guidance,Epha2,,
Ungrouped,Cdk4,,#a3ff19
Ungrouped,Hcn1,,#ff9f5d
Ungrouped,Ctnnb1,,#449fff
Ungrouped,Clcn2,,#a8efff
Ungrouped,Tgfbr1,,#5eff7b
Ungrouped,Gabrb2,,#5eff7b
General axonal guidance,Rhoa,,
Ungrouped,Id3,,#ff6b97
General axonal guidance,Bmp7,,
Ungrouped,Ascl2,,#ffd547
Ungrouped,Wnt3a,,#ff4028
Ungrouped,Gosr1,,#449fff
Ungrouped,Bmp5,,#a3ff19
