Epilepsy,SETBP1 related
Alg13,Akt2
Ankrd11,Bcl6
Arfgef1,Bmp5
Arhgef9,Cdc37
Arid1B,Cdkn1b
Arv1,Cep44
Arx,Cul1
Asxl3,Cul3
Atp1A1,Cul5
Atp1A2,Ddx5
Atp1A3,Dicer1
Atp6V0A1,Erbb4
Atp6V1A,Etv5
Cacna1A,Fbxo38
Cacna1B,Fbxo8
Cacna1C,Fbxw11
Cacna2D2,Fbxw7
Cacnb4,Gata2
Cdk19,Hoxa9
Cdkl5,Hspd1
Celf2,Huwe1
Cers1,Junb
Chd2,Klhl24
Chrna1,Mecom
Chrna2,Mef2c
Chrna4,Myc
Chrnb2,Nfe2l2
Clcn2,Ntrk3
Cntn2,Pdgfb
Cstb,Pparg
Cul3,Pten
Cux2,Rara
Ddx3X,Rbx1
Deaf1,Ripk1
Depdc5,Rnf2
Dhx16,Set
Dll1,Skp2
Dnm1,Smarce1
Dock7,Spop
Dyrk1A,Sqstm1
Eef1A2,Src
Epm2a,Srsf11
Fbxo28,Tet2
Fgf12,Tgfb1
Fgf13,Trim25
Foxg1,Vhl
Frrs1l,Wwp1
Gabbr2,Zyg11b
Gabra1,
Gabra2,
Gabra5,
Gabrb1,
Gabrb2,
Gabrb3,
Gabrd,
Gabrg2,
Gad1,
Gal,
Gnao1,
Gosr2,
Gria4,
Grik2,
Grin1,
Grin2a,
Grin2b,
Grin2d,
Hcn1,
Kcna2,
Kcnb1,
Kcnc1,
Kcnc2,
Kcnh1,
Kcnk4,
Kcnma1,
Kcnq2,
Kcnq3,
Kcnt1,
Kcnt2,
Kctd7,
Lmnb2,
Lnpk,
Mast3,
Mdh1,
Mdh2,
Mecp2,
Mef2C,
Mthfs,
Neurod2,
Nsf,
Pak1,
Pde2A,
Plcb1,
Reln,
Sema6B,
Slc12a5,
Slc1a2,
Slc38A3,
Slc6a1,
Snap25,
Sptan1,
Stxbp1,
Syn1,
Tbc1d24,
Tiam1,
